,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,quantity,rate,total_amt,store_type,prod_cat,prod_subcat,dob,gender,city_code
0,80712190438,270351,2014-02-28,1,1,-5,-772,-4265.3,e-Shop,Clothing,Women,1981-09-26,M,5.0
1,29258453508,270384,2014-02-27,5,3,-5,-1497,-8270.925,e-Shop,Electronics,Computers,1973-05-11,F,8.0
2,51750724947,273420,2014-02-24,6,5,-2,-791,-1748.11,TeleShop,Books,DIY,1992-07-27,M,8.0
3,93274880719,271509,2014-02-24,11,6,-3,-1363,-4518.345,e-Shop,Home and kitchen,Bath,1981-06-08,M,3.0
4,51750724947,273420,2014-02-23,6,5,-2,-791,-1748.11,TeleShop,Books,DIY,1992-07-27,M,8.0
5,97439039119,272357,2014-02-23,8,3,-2,-824,-1821.04,TeleShop,Electronics,Personal Appliances,1982-10-09,F,6.0
6,45649838090,273667,2014-02-22,11,6,-1,-1450,-1602.25,e-Shop,Home and kitchen,Bath,1981-05-29,M,9.0
7,22643667930,271489,2014-02-22,12,6,-1,-1225,-1353.625,TeleShop,Home and kitchen,Tools,1971-04-21,M,9.0
8,79792372943,275108,2014-02-22,3,1,-3,-908,-3010.02,MBR,Clothing,Kids,1971-11-04,F,8.0
9,50076728598,269014,2014-02-21,8,3,-4,-581,-2568.02,e-Shop,Electronics,Personal Appliances,1979-11-27,F,3.0
10,29258453508,270384,2014-02-20,5,3,5,1497,8270.925,e-Shop,Electronics,Computers,1973-05-11,F,8.0
11,25455265351,267750,2014-02-20,12,6,3,1360,4508.4,e-Shop,Home and kitchen,Tools,1986-10-13,M,1.0
12,1571002198,275023,2014-02-20,6,5,4,587,2594.54,e-Shop,Books,DIY,1971-03-09,M,6.0
13,43134751727,268487,2014-02-20,3,2,-1,-611,-675.155,e-Shop,Footwear,Women,1984-06-10,F,2.0
14,36554696014,269345,2014-02-20,3,5,3,1253,4153.695,e-Shop,Books,Comics,1970-06-26,F,10.0
15,56814940239,268799,2014-02-20,7,5,5,368,2033.2,e-Shop,Books,Fiction,1979-06-27,M,9.0
16,54295803788,270787,2014-02-20,12,5,5,584,3226.6,e-Shop,Books,Academic,1973-09-10,F,6.0
17,25963520987,274829,2014-02-20,4,4,3,502,1664.13,Flagship store,Bags,Women,1984-09-05,F,2.0
18,17183929085,266863,2014-02-20,1,2,1,1359,1501.695,TeleShop,Footwear,Mens,1972-11-17,M,6.0
19,44783317894,269452,2014-02-20,3,1,3,825,2734.875,TeleShop,Clothing,Kids,1979-09-18,F,2.0
20,58957828601,269009,2014-02-20,11,5,4,846,3739.32,TeleShop,Books,Children,1977-07-12,M,2.0
21,9647515879,268934,2014-02-20,7,5,3,1384,4587.96,TeleShop,Books,Fiction,1980-07-18,F,7.0
22,20781077773,269223,2014-02-20,5,3,3,1203,3987.945,TeleShop,Electronics,Computers,1977-07-18,F,6.0
23,91116291703,268509,2014-02-20,1,2,4,1243,5494.06,MBR,Footwear,Mens,1989-08-17,M,10.0
24,68325723297,268516,2014-02-20,9,3,1,877,969.085,e-Shop,Electronics,Cameras,1983-09-22,F,10.0
25,73235813024,268774,2014-02-20,3,5,1,76,83.98,TeleShop,Books,Comics,1980-05-21,F,2.0
26,80712190438,270351,2014-02-20,1,1,5,772,4265.3,e-Shop,Clothing,Women,1981-09-26,M,5.0
27,66989395597,272785,2014-02-20,10,3,2,474,1047.54,TeleShop,Electronics,Audio and video,1979-09-03,M,7.0
28,88853694830,268444,2014-02-20,4,4,-3,-80,-265.2,MBR,Bags,Women,1992-01-02,F,6.0
29,99581788104,267466,2014-02-20,3,2,1,96,106.08,Flagship store,Footwear,Women,1987-08-06,F,7.0
30,28396777609,269101,2014-02-19,4,1,4,1386,6126.12,TeleShop,Clothing,Mens,1980-06-27,M,7.0
31,22391667321,270842,2014-02-19,1,2,5,723,3994.575,MBR,Footwear,Mens,1984-12-07,M,2.0
32,51075317246,274987,2014-02-19,10,6,5,374,2066.35,MBR,Home and kitchen,Kitchen,1983-10-08,M,2.0
33,16199275450,275139,2014-02-19,4,2,1,173,191.165,MBR,Footwear,Kids,1979-06-12,F,8.0
34,22698449434,269136,2014-02-19,7,5,5,189,1044.225,TeleShop,Books,Fiction,1976-07-01,M,4.0
35,13167171971,275149,2014-02-19,4,3,4,804,3553.68,MBR,Electronics,Mobiles,1977-08-06,F,8.0
36,32130400636,269772,2014-02-19,12,6,3,229,759.135,e-Shop,Home and kitchen,Tools,1981-05-25,F,9.0
37,31384765864,267058,2014-02-19,3,2,1,793,876.265,e-Shop,Footwear,Women,1992-02-06,F,10.0
38,85894118953,271817,2014-02-19,3,2,3,1401,4644.315,e-Shop,Footwear,Women,1989-12-24,M,8.0
39,63407734630,271322,2014-02-19,3,2,5,1360,7514.0,Flagship store,Footwear,Women,1979-11-27,F,7.0
40,90740728864,268229,2014-02-19,4,2,5,984,5436.6,TeleShop,Footwear,Kids,1989-03-01,F,3.0
41,82750983847,267544,2014-02-19,3,5,1,805,889.525,Flagship store,Books,Comics,1984-10-12,M,7.0
42,67328698675,268755,2014-02-19,3,2,1,1018,1124.89,Flagship store,Footwear,Women,1984-07-15,F,8.0
43,80381707658,269407,2014-02-19,6,5,5,573,3165.825,e-Shop,Books,DIY,1978-04-25,F,1.0
44,78709566028,273023,2014-02-19,10,6,2,1052,2324.92,e-Shop,Home and kitchen,Kitchen,1988-07-24,F,5.0
45,67079812295,271818,2014-02-19,10,3,2,1408,3111.68,MBR,Electronics,Audio and video,1973-04-03,M,7.0
46,72427583709,268129,2014-02-19,4,4,1,885,977.925,Flagship store,Bags,Women,1982-08-07,F,9.0
47,14259136777,274477,2014-02-18,10,3,1,1489,1645.345,TeleShop,Electronics,Audio and video,1976-10-07,F,7.0
48,7313351894,267568,2014-02-18,2,6,4,481,2126.02,Flagship store,Home and kitchen,Furnishing,1988-03-07,M,5.0
49,37745642681,267098,2014-02-18,1,2,1,109,120.445,Flagship store,Footwear,Mens,1971-04-27,F,9.0
50,13861409908,271608,2014-02-18,1,2,2,1352,2987.92,MBR,Footwear,Mens,1970-02-09,F,4.0
51,58956348529,272484,2014-02-18,4,1,4,1443,6378.06,TeleShop,Clothing,Mens,1974-07-04,F,4.0
52,58886320392,268715,2014-02-18,10,6,2,768,1697.28,Flagship store,Home and kitchen,Kitchen,1988-02-27,M,1.0
53,53081075361,273250,2014-02-18,11,6,5,1345,7431.125,Flagship store,Home and kitchen,Bath,1978-04-25,F,6.0
54,10017543415,267097,2014-02-18,3,5,1,164,181.22,Flagship store,Books,Comics,1973-05-05,M,2.0
55,34065279733,274562,2014-02-18,6,5,2,280,618.8,e-Shop,Books,DIY,1971-12-03,M,6.0
56,58223423237,268138,2014-02-18,6,5,-3,-1398,-4634.37,e-Shop,Books,DIY,1980-06-23,M,3.0
57,74085729167,268492,2014-02-18,3,5,3,433,1435.395,e-Shop,Books,Comics,1975-02-17,M,1.0
58,83498320600,273359,2014-02-18,4,1,4,861,3805.62,e-Shop,Clothing,Mens,1977-08-05,M,7.0
59,83313344780,271288,2014-02-18,4,3,2,84,185.64,Flagship store,Electronics,Mobiles,1991-02-25,F,3.0
