,unique_cust_id
0,270384
1,267750
2,275023
3,269345
4,268799
5,270787
6,274829
7,266863
8,269452
9,268934
10,269223
11,268509
12,268516
13,270351
14,267466
15,269101
16,270842
17,274987
18,275139
19,269136
20,275149
21,269772
22,267058
23,271817
24,271322
25,268229
26,267544
27,268755
28,269407
29,273023
30,271818
31,268129
32,267568
33,271608
34,268715
35,273250
36,267097
37,268492
38,273359
39,271288
40,270778
41,271030
42,274426
43,269019
44,268138
45,271250
46,271489
47,270244
48,269387
49,275108
50,271763
51,270678
52,269018
53,269162
54,269867
55,270108
56,273734
57,270294
58,274014
59,273506
60,273420
61,268592
62,273896
63,267072
64,270148
65,271509
66,274813
67,272069
68,269388
69,271875
70,271355
71,272777
72,268772
73,269014
74,273075
75,271297
76,272145
77,268867
78,271595
79,274609
80,272529
81,271368
82,268855
83,270625
84,268076
85,271658
86,271859
87,271744
88,273474
89,273763
90,274689
91,269275
92,271924
93,271061
94,268956
95,267500
96,269140
97,268136
98,271493
99,271312
100,267375
101,273174
102,274152
103,274408
104,270071
105,270263
106,273304
107,268444
108,273848
109,273598
110,273552
111,274652
112,274897
113,275246
114,267025
115,268100
116,266794
117,270810
118,271180
119,271944
120,273799
121,273322
122,269758
123,270009
124,270330
125,267524
126,274048
127,269413
128,268487
129,274880
130,269601
131,267634
132,269933
133,274345
134,269847
135,272137
136,272561
137,274526
138,268098
139,270631
140,268845
141,271872
142,271735
143,274511
144,269188
145,268995
146,267297
147,268713
148,273625
149,273646
150,271384
151,269225
152,270375
153,271683
154,270018
155,267067
156,269947
157,267463
158,272172
159,267662
160,273358
161,269776
162,269808
163,267467
164,272365
165,270111
166,266843
167,267754
168,270240
169,268364
170,271694
171,273267
172,273368
173,268402
174,274650
175,273140
176,267926
177,272143
178,273660
179,269269
180,275227
181,269950
182,270042
183,275082
184,273965
185,272395
186,270773
187,267704
188,268670
189,274917
190,272985
191,271577
192,270405
193,273083
194,272874
195,271596
196,268720
197,275104
198,275056
199,274772
200,273367
201,270178
202,269049
203,271101
204,271935
205,273363
206,273221
207,266900
208,272794
209,270072
210,272816
211,269221
212,275134
213,274369
214,270419
215,267794
216,270253
217,272672
218,271310
219,271152
220,269370
221,268606
222,273096
223,270714
224,268275
225,269711
226,268931
227,270481
228,270252
229,275225
230,269285
231,267656
232,269932
233,275196
234,272795
235,273836
236,271012
237,268569
238,272596
239,268057
240,270455
241,269537
242,275088
243,268571
244,270044
245,271583
246,269697
247,274479
248,274811
249,274554
250,273081
251,272031
252,267489
253,267045
254,271379
255,267464
256,274923
257,271426
258,273184
259,274148
260,268835
261,271367
262,274984
263,271534
264,269259
265,268635
266,267265
267,268171
268,268164
269,266820
270,270050
271,270213
272,270875
273,274653
274,272607
275,271986
276,267734
277,271328
278,269090
279,267651
280,273271
281,269476
282,272675
283,274587
284,270888
285,272463
286,273167
287,270949
288,271974
289,272105
290,269732
291,267858
292,274331
293,268047
294,272515
295,268050
296,267702
297,271176
298,270633
299,271758
300,270780
301,272996
302,273703
303,268479
304,270293
305,270526
306,269392
307,267594
308,270839
309,271972
310,275075
311,271567
312,273386
313,271304
314,273509
315,267547
316,271858
317,269831
318,271833
319,268266
320,269780
321,271500
322,267243
323,274756
324,269273
325,271294
326,268998
327,272286
328,271161
329,271224
330,273026
331,270036
332,267912
333,269524
334,275204
335,274728
336,272556
337,268211
338,269820
339,268810
340,273831
341,271283
342,267771
343,270239
344,268679
345,266918
346,274751
347,269376
348,272313
349,274952
350,270831
351,267488
352,273924
353,268996
354,271905
355,272940
356,270350
357,267991
358,271381
359,267094
360,268847
361,266853
362,271769
363,275022
364,270706
365,268352
366,271937
367,273973
368,274428
369,272482
370,274706
371,275117
372,271586
373,273798
374,270938
375,274955
376,274525
377,274978
378,267420
379,270020
380,267999
381,275136
382,275069
383,266974
384,272837
385,268027
386,269173
387,274364
388,270400
389,269964
390,272659
391,274621
392,273913
393,274747
394,271768
395,268054
396,269890
397,269873
398,268992
399,267450
400,271910
401,267164
402,274727
403,267075
404,272142
405,271490
406,273095
407,268526
408,271110
409,272549
410,268151
411,268819
412,270815
413,272336
414,271470
415,267753
416,273511
417,273251
418,267740
419,271266
420,268335
421,272508
422,272757
423,274662
424,269193
425,272973
426,275131
427,272915
428,274150
429,268565
430,271026
431,269577
432,275210
433,268467
434,271357
435,272103
436,267511
437,269612
438,272414
439,273043
440,275064
441,268548
442,269246
443,268898
444,268878
445,274187
446,271992
447,271648
448,271158
449,270413
450,267174
451,272501
452,269117
453,268923
454,271430
455,273731
456,274208
457,272924
458,273094
459,270470
460,271601
461,271280
462,275020
463,269372
464,274223
465,272328
466,268744
467,271971
468,273536
469,273791
470,266975
471,271565
472,267343
473,267105
474,271281
475,270740
476,269927
477,267301
478,268530
479,269593
480,269757
481,267001
482,266841
483,270762
484,270399
485,274814
486,267669
487,271036
488,274991
489,273397
490,273983
491,274569
492,269216
493,275215
494,270494
495,271959
496,270908
497,272326
498,271429
499,274239
500,270716
501,273077
502,272456
503,267439
504,274306
505,270535
506,267377
507,267846
508,273787
509,274480
510,269963
511,274281
512,267281
513,267935
514,274837
515,275233
516,272951
517,272993
518,270026
519,269862
520,274638
521,272059
522,268055
523,274839
524,272999
525,267621
526,269673
527,273429
528,268514
529,267905
530,267480
531,271100
532,274515
533,271448
534,266987
535,269980
536,268728
537,274594
538,273684
539,273716
540,274296
541,273331
542,273526
543,273135
544,269952
545,272144
546,271029
547,269783
548,274661
549,274725
550,269637
551,269299
552,274663
553,271352
554,267925
555,267282
556,274323
557,271107
558,272019
559,275197
560,270445
561,273804
562,269636
563,270873
564,272399
565,273123
566,274868
567,267978
568,268408
569,271668
570,274518
571,269449
572,274618
573,271850
574,272280
575,267832
576,269060
577,269715
578,271380
579,267522
580,268021
581,271233
582,267536
583,267143
584,269393
585,268160
586,274292
587,272662
588,269363
589,271664
590,275157
591,268169
592,272815
593,269069
594,269988
595,270160
596,274326
597,271302
598,273234
599,272906
600,267592
601,270865
602,271232
603,274718
604,269213
605,273299
606,271821
607,266827
608,269171
609,268904
610,273698
611,269437
612,272410
613,272243
614,268968
615,272264
616,274268
617,268740
618,272077
619,273917
620,270092
621,267938
622,268951
623,274948
624,270360
625,271045
626,272514
627,274221
628,275163
629,268046
630,272702
631,271729
632,266966
633,267781
