cust_id,rating,object_id,object_name
270384,5,3_5,Electronics_Computers
267750,3,6_12,Home and kitchen_Tools
275023,4,5_6,Books_DIY
269345,3,5_3,Books_Comics
268799,5,5_7,Books_Fiction
270787,5,5_12,Books_Academic
274829,3,4_4,Bags_Women
266863,1,2_1,Footwear_Mens
269452,3,1_3,Clothing_Kids
268934,3,5_7,Books_Fiction
269223,3,3_5,Electronics_Computers
268509,4,2_1,Footwear_Mens
268516,1,3_9,Electronics_Cameras
270351,5,1_1,Clothing_Women
267466,1,2_3,Footwear_Women
269101,4,1_4,Clothing_Mens
270842,5,2_1,Footwear_Mens
274987,5,6_10,Home and kitchen_Kitchen
275139,1,2_4,Footwear_Kids
269136,5,5_7,Books_Fiction
275149,4,3_4,Electronics_Mobiles
269772,3,6_12,Home and kitchen_Tools
267058,1,2_3,Footwear_Women
271817,3,2_3,Footwear_Women
271322,5,2_3,Footwear_Women
268229,5,2_4,Footwear_Kids
267544,1,5_3,Books_Comics
268755,1,2_3,Footwear_Women
269407,5,5_6,Books_DIY
273023,2,6_10,Home and kitchen_Kitchen
271818,2,3_10,Electronics_Audio and video
268129,1,4_4,Bags_Women
267568,4,6_2,Home and kitchen_Furnishing
271608,2,2_1,Footwear_Mens
268715,2,6_10,Home and kitchen_Kitchen
273250,5,6_11,Home and kitchen_Bath
267097,1,5_3,Books_Comics
268492,3,5_3,Books_Comics
273359,4,1_4,Clothing_Mens
271288,2,3_4,Electronics_Mobiles
270778,5,6_11,Home and kitchen_Bath
271030,1,1_4,Clothing_Mens
274426,5,5_6,Books_DIY
269019,2,2_4,Footwear_Kids
268138,3,5_6,Books_DIY
271250,2,6_10,Home and kitchen_Kitchen
271489,1,6_12,Home and kitchen_Tools
270244,1,3_8,Electronics_Personal Appliances
269387,5,5_6,Books_DIY
275108,3,1_3,Clothing_Kids
271763,5,6_12,Home and kitchen_Tools
270678,4,5_7,Books_Fiction
269018,4,6_10,Home and kitchen_Kitchen
269162,2,5_10,Books_Non-Fiction
269867,3,5_11,Books_Children
270108,2,3_4,Electronics_Mobiles
273734,5,5_3,Books_Comics
270294,5,3_4,Electronics_Mobiles
274014,4,5_3,Books_Comics
273506,3,6_12,Home and kitchen_Tools
273420,2,5_6,Books_DIY
268592,3,2_1,Footwear_Mens
273896,2,1_4,Clothing_Mens
267072,5,2_1,Footwear_Mens
270148,4,3_4,Electronics_Mobiles
271509,3,6_11,Home and kitchen_Bath
274813,3,6_2,Home and kitchen_Furnishing
272069,3,5_7,Books_Fiction
269388,2,6_11,Home and kitchen_Bath
271875,4,6_2,Home and kitchen_Furnishing
271355,4,6_12,Home and kitchen_Tools
272777,2,6_10,Home and kitchen_Kitchen
268772,1,5_11,Books_Children
269014,4,3_8,Electronics_Personal Appliances
273075,4,6_2,Home and kitchen_Furnishing
271297,2,1_3,Clothing_Kids
272145,4,3_5,Electronics_Computers
268867,1,1_1,Clothing_Women
271595,1,3_8,Electronics_Personal Appliances
274609,5,5_12,Books_Academic
272529,4,4_4,Bags_Women
271368,5,5_10,Books_Non-Fiction
268855,3,3_4,Electronics_Mobiles
270625,5,1_1,Clothing_Women
268076,4,3_10,Electronics_Audio and video
271658,2,6_11,Home and kitchen_Bath
271859,4,2_3,Footwear_Women
271744,4,5_6,Books_DIY
273474,2,3_9,Electronics_Cameras
273763,3,2_4,Footwear_Kids
274689,4,3_10,Electronics_Audio and video
269275,1,3_10,Electronics_Audio and video
271924,2,6_2,Home and kitchen_Furnishing
271061,3,3_4,Electronics_Mobiles
268956,4,3_9,Electronics_Cameras
267500,2,4_1,Bags_Mens
269140,4,6_2,Home and kitchen_Furnishing
268136,5,4_1,Bags_Mens
271493,2,4_4,Bags_Women
271312,4,3_10,Electronics_Audio and video
267375,3,4_4,Bags_Women
273174,1,1_4,Clothing_Mens
267375,4,5_6,Books_DIY
274152,3,6_2,Home and kitchen_Furnishing
274408,3,5_3,Books_Comics
270071,2,6_11,Home and kitchen_Bath
270263,4,2_4,Footwear_Kids
273304,3,6_11,Home and kitchen_Bath
268444,3,4_4,Bags_Women
273848,3,5_6,Books_DIY
273598,4,6_11,Home and kitchen_Bath
273552,4,6_12,Home and kitchen_Tools
274652,4,5_12,Books_Academic
274897,3,5_12,Books_Academic
275246,1,6_2,Home and kitchen_Furnishing
267025,4,6_10,Home and kitchen_Kitchen
268100,3,2_1,Footwear_Mens
266794,2,2_3,Footwear_Women
269772,3,2_4,Footwear_Kids
270810,2,3_4,Electronics_Mobiles
271180,3,3_8,Electronics_Personal Appliances
271944,2,1_1,Clothing_Women
273799,1,3_9,Electronics_Cameras
273322,1,6_12,Home and kitchen_Tools
269758,3,5_10,Books_Non-Fiction
267466,1,4_4,Bags_Women
270009,2,5_11,Books_Children
270330,5,6_10,Home and kitchen_Kitchen
